imagen,motivo
frame_0001.png,etiquetada
frame_0002.png,etiquetada
frame_0003.png,etiquetada
frame_0004.png,etiquetada
frame_0005.png,etiquetada
frame_0006.png,etiquetada
frame_0007.png,etiquetada
crop_opencv.png,sin etiqueta
crop_pil.png,sin etiqueta
frame_0001 copy.png,sin etiqueta
frame_0002 copy.png,sin etiqueta
frame_0003 copy.png,sin etiqueta
frame_0004 copy.png,sin etiqueta
resized_opencv.png,sin etiqueta
resized_pil.png,sin etiqueta
updateframe_0001.png,sin etiqueta
updateframe_0002.png,sin etiqueta
updateframe_0003.png,sin etiqueta
updateframe_0004.png,sin etiqueta
updateframe_0005.png,sin etiqueta
updateframe_0006.png,sin etiqueta
updateframe_0007.png,sin etiqueta
