archivo,hash,archivo_duplicado,tipo_problema,estado
data/raw/frames_video/crop_opencv.png,5a4e862331e7b497c97afabcdd84e65d75c5c85130098c6e7326f89b26bb484a,,,OK
data/raw/frames_video/crop_pil.png,fadb93d22a24433015981bcf6c70ce751f90d30a4026ba521617bc43b2137b99,,,OK
data/raw/frames_video/frame_0001 copy.png,dc2f4fde48daf827fabe9d03eb58e16abff6e5318a45acc89239f6e6800992bf,,,OK
data/raw/frames_video/frame_0001.png,dc2f4fde48daf827fabe9d03eb58e16abff6e5318a45acc89239f6e6800992bf,data/raw/frames_video/frame_0001 copy.png,duplicado,Error
data/raw/frames_video/frame_0002 copy.png,566b962691c941a159db2c3fc9409294df2d472ad6a34b33791ccf614ded606b,,,OK
data/raw/frames_video/frame_0002.png,566b962691c941a159db2c3fc9409294df2d472ad6a34b33791ccf614ded606b,data/raw/frames_video/frame_0002 copy.png,duplicado,Error
data/raw/frames_video/frame_0003 copy.png,ba0b59d7b887afba022b90d5c276a33f0477fe902a44039cceeb2b16f5a4bee3,,,OK
data/raw/frames_video/frame_0003.png,ba0b59d7b887afba022b90d5c276a33f0477fe902a44039cceeb2b16f5a4bee3,data/raw/frames_video/frame_0003 copy.png,duplicado,Error
data/raw/frames_video/frame_0004 copy.png,1ddb334a45d0e583ad2a68cd295383d73e47e65624b4fe54ae8612f3697308b4,,,OK
data/raw/frames_video/frame_0004.png,1ddb334a45d0e583ad2a68cd295383d73e47e65624b4fe54ae8612f3697308b4,data/raw/frames_video/frame_0004 copy.png,duplicado,Error
data/raw/frames_video/frame_0005.png,ca2e3affdfdb679b58201db46a47c6f870e2a357fc8d2737c90dd9e4141b8968,,,OK
data/raw/frames_video/frame_0006.png,eabfaa88b39aae991c48683687584dc87934a5ef74ac42f544e607b6a50145a2,,,OK
data/raw/frames_video/frame_0007.png,a0905a3f9f369d9f09067d2a6897f0586345f6661aa320d03d38c0feb6e71ac6,,,OK
data/raw/frames_video/resized_opencv.png,1cd283f7f3e2548921745cdb7ac148f34c25883a315d30c4ca2815200a548a35,,,OK
data/raw/frames_video/resized_pil.png,c38476ba64cd7810658e936b9006323c76614cb9dc98c129156f01bfbc5fffbb,,,OK
data/raw/frames_video/updateframe_0001.png,cb776f313b7eb288c077d7ad6c6a4c7471c6c7ab33b5ab1c6689e4221c4bea7d,,,OK
data/raw/frames_video/updateframe_0002.png,aef5dc029bca67922c5c663a5efd832e0b6c7b03b744c48d1a16e1d5cf88f532,,,OK
data/raw/frames_video/updateframe_0003.png,993f8e3b1bb8f19f13df98f65c8b3fd48984541786131d8d98b310385daac4be,,,OK
data/raw/frames_video/updateframe_0004.png,9f6184aa6b33ac36e422a0ad0b04bae314574bb31f455793b2aab6219c83115e,,,OK
data/raw/frames_video/updateframe_0005.png,d4d50ef1b350bbfcf1f81ca6f9d79dc4ee1227bd1c499d7eef1ee6c28326e98a,,,OK
data/raw/frames_video/updateframe_0006.png,63f5db859ae060f57f2d00fc6568ed697ac15e33d4ce49cc5c9f432e445c337c,,,OK
data/raw/frames_video/updateframe_0007.png,01e524286fd60da5cd7db0e4b14b63097e8a35c73ea1122f0a4edb01d27b9ebe,,,OK
